value;normdata_id;normdata_category;provider;docCount
"Robeson, Paul";"118601555";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Roboter";"4050208-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Rocky Mountains";"";"";"Haus des Dokumentarfilms";"2"
"Roden";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Rodeo";"";"";"Haus des Dokumentarfilms";"4"
"Roemer, Friedrich";"";"";"Haus des Dokumentarfilms";"1"
"Rohrbachviadukt";"";"";"Haus des Dokumentarfilms";"1"
"Rohre und Gräser";"";"";"Technische Informationsbibliothek (TIB)";"3"
"Rollschuh";"";"";"Haus des Dokumentarfilms";"3"
"Rollschuhlauf";"";"";"Haus des Dokumentarfilms";"1"
"Rollschuhlaufen";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Rollstuhl";"";"";"Haus des Dokumentarfilms";"1"
"Rom";"";"";"Haus des Dokumentarfilms";"11"
"Roma";"";"";"Haus des Dokumentarfilms";"2"
"Romny";"";"";"Haus des Dokumentarfilms";"1"
"Roos, Karl";"";"";"Haus des Dokumentarfilms";"1"
"Rose";"";"";"Haus des Dokumentarfilms";"1"
"Rosenberg, Alfred Ernst";"";"";"Haus des Dokumentarfilms";"1"
"Rosenheim";"";"";"Haus des Dokumentarfilms";"1"
"Rosenkranz";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Rosenstein";"";"";"Haus des Dokumentarfilms";"1"
"Roser, Dieter";"";"";"Haus des Dokumentarfilms";"1"
"Rositten";"";"";"Haus des Dokumentarfilms";"1"
"Rossitten";"";"";"Haus des Dokumentarfilms";"1"
"Rostock";"";"";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Rostow am Don";"";"";"Haus des Dokumentarfilms";"1"
"Rote Armee";"";"";"Haus des Dokumentarfilms";"1"
"Rote Armee Fraktion";"";"";"Haus des Dokumentarfilms";"1"
"Rote Armee Fraktion (RAF)";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Rotenberg";"";"";"Haus des Dokumentarfilms";"5"
"Rotenburg";"";"";"Haus des Dokumentarfilms";"1"
"Rotenburg an der Wümme";"";"";"Haus des Dokumentarfilms";"1"
"Rotes Kreuz";"";"";"Haus des Dokumentarfilms";"5"
"Roth, Reinhold";"";"";"Haus des Dokumentarfilms";"1"
"Rothenburg ob der Tauber";"";"";"Haus des Dokumentarfilms";"10"
"Rothenburg ob der Tauber.";"";"";"Haus des Dokumentarfilms";"1"
"Rotkohl";"";"";"Haus des Dokumentarfilms";"1"
"Rotkraut";"";"";"Haus des Dokumentarfilms";"1"
"Rottenburg am Neckar";"";"";"Haus des Dokumentarfilms";"4"
"Rotterdam";"";"";"Haus des Dokumentarfilms";"5"
"Rottweil";"";"";"Haus des Dokumentarfilms";"3"
"Roubaix";"";"";"Haus des Dokumentarfilms";"1"
"Rouen";"";"";"Haus des Dokumentarfilms";"3"
"Rouffach";"";"";"Haus des Dokumentarfilms";"1"
"Rovio";"";"";"Haus des Dokumentarfilms";"13"
"Ruderboot";"";"";"Haus des Dokumentarfilms";"2"
"Rudern";"";"";"Haus des Dokumentarfilms";"3"
"Ruderregatta";"";"";"Haus des Dokumentarfilms";"1"
"Rudersberg";"";"";"Haus des Dokumentarfilms";"1"
"Rudersport";"";"";"Haus des Dokumentarfilms";"4"
"Rufach";"";"";"Haus des Dokumentarfilms";"1"
"Rugby";"";"";"Haus des Dokumentarfilms";"2"
"Ruhestein";"";"";"Haus des Dokumentarfilms";"1"
"Ruhrgebiet";"4050926-6";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"Ruine";"";"";"Haus des Dokumentarfilms";"22"
"Ruine Reußenstein";"";"";"Haus des Dokumentarfilms";"1"
"Rummel";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Rummelplatz";"";"";"Haus des Dokumentarfilms";"10"
"Rumänien";"";"";"Haus des Dokumentarfilms";"10"
"Rundfahrt";"";"";"Haus des Dokumentarfilms";"3"
"Rundflug";"";"";"Haus des Dokumentarfilms";"1"
"Rundfunk";"";"";"Haus des Dokumentarfilms";"5"
"Rundfunkgeschichte";"";"";"Haus des Dokumentarfilms";"1"
"Rundfunkstudio";"";"";"Haus des Dokumentarfilms";"2"
"Rundfunktechnik";"";"";"Haus des Dokumentarfilms";"1"
"Rundlinge";"";"";"Haus des Dokumentarfilms";"1"
"Russe";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Russland";"";"";"Haus des Dokumentarfilms";"23"
"Russlandfeldzug";"";"";"Haus des Dokumentarfilms";"5"
"Rust";"";"";"Haus des Dokumentarfilms";"1"
"Rutesheim";"";"";"Haus des Dokumentarfilms";"11"
"Rußlandfeldzug";"";"";"Haus des Dokumentarfilms";"2"
"Römer";"4122633-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Rösten";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Rüdesheim";"";"";"Haus des Dokumentarfilms";"1"
"Rüdesheim am Rhein";"";"";"Haus des Dokumentarfilms";"1"
"Rügen";"";"";"Haus des Dokumentarfilms";"1"
"Rühmann, Heinz";"118603949";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"16"
"Rühmann, Heinz";"099d6835b3754e6c9d26ec4d910238e5";"avefi:FilmportalResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"16"
"Rüsselkäfer";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Rüsselsheim";"";"";"Haus des Dokumentarfilms";"1"
"Rüstung";"";"";"Haus des Dokumentarfilms";"3"
"Rüstungsindustrie";"";"";"Haus des Dokumentarfilms";"1"
"Rütli";"";"";"Haus des Dokumentarfilms";"1"
"Rēzekne";"";"";"Haus des Dokumentarfilms";"1"
"S-Bahn";"";"";"Haus des Dokumentarfilms";"2"
"SA";"";"";"Haus des Dokumentarfilms";"9"
"SABA GmbH";"";"";"Haus des Dokumentarfilms";"1"
"SDR";"";"";"Haus des Dokumentarfilms";"1"
"SED";"";"";"Haus des Dokumentarfilms";"1"
"SHD";"";"";"Haus des Dokumentarfilms";"1"
"SPD";"";"";"Haus des Dokumentarfilms";"2"
"SPORT";"";"";"Haus des Dokumentarfilms";"79"
"SS";"";"";"Haus des Dokumentarfilms";"1"
"SSB";"";"";"Haus des Dokumentarfilms";"1"
"Saalbach";"";"";"Haus des Dokumentarfilms";"1"
"Saarbrücken";"";"";"Haus des Dokumentarfilms";"1"
"Saarland";"";"";"Haus des Dokumentarfilms";"3"
"Sabah";"";"";"Haus des Dokumentarfilms";"1"
"Sabotage";"4051131-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Sachrang";"";"";"Haus des Dokumentarfilms";"1"
"Sachsen";"";"";"Haus des Dokumentarfilms";"2"
"Sachsenhausen";"";"";"Haus des Dokumentarfilms";"1"
"Sacre-Coeur";"";"";"Haus des Dokumentarfilms";"1"
"Sacré-Coeur";"";"";"Haus des Dokumentarfilms";"1"
"Safari";"4051276-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Sago / Sagofladen";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sago / Sagogewinnung";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sago / Sagopalme";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Sagokäfer";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sagowurm";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Saig";"";"";"Haus des Dokumentarfilms";"1"
"Saint-Aubin";"";"";"Haus des Dokumentarfilms";"1"
"Saint-Maur-des-Fossés";"";"";"Haus des Dokumentarfilms";"1"
"Saint-Tropez";"";"";"Haus des Dokumentarfilms";"1"
"Saiteninstrumente";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Sakkara";"";"";"Haus des Dokumentarfilms";"1"
"Salamander AG";"";"";"Haus des Dokumentarfilms";"3"
"Salmendingen";"";"";"Haus des Dokumentarfilms";"1"
"Saloniki";"";"";"Haus des Dokumentarfilms";"2"
"Salpeter";"";"";"Haus des Dokumentarfilms";"2"
"Salt Lake City";"";"";"Haus des Dokumentarfilms";"1"
"Salvador da Bahia";"";"";"Haus des Dokumentarfilms";"1"
"Salzburg";"";"";"Haus des Dokumentarfilms";"12"
"Salzburger Festspiele";"";"";"Haus des Dokumentarfilms";"1"
"Salzburger Land";"";"";"Haus des Dokumentarfilms";"1"
"Salzgewinnung";"";"";"Haus des Dokumentarfilms";"1"
"Salzkammergut";"";"";"Haus des Dokumentarfilms";"2"
"Salzwedel";"";"";"Haus des Dokumentarfilms";"1"
"Salzwinkel";"";"";"Haus des Dokumentarfilms";"1"
"Samarinda";"";"";"Haus des Dokumentarfilms";"1"
"Sambesi";"";"";"Haus des Dokumentarfilms";"1"
"Same";"";"";"Haus des Dokumentarfilms";"1"
"Samen (Volk)";"4074020-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Sammeln";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"8"
"Sammelwirtschaft";"";"";"Technische Informationsbibliothek (TIB)";"8"
"Sammler";"";"";"Haus des Dokumentarfilms";"1"
"San Diego";"";"";"Haus des Dokumentarfilms";"1"
"San Francisco";"";"";"Haus des Dokumentarfilms";"4"
"San Juan";"";"";"Haus des Dokumentarfilms";"1"
"San Marino";"";"";"Haus des Dokumentarfilms";"3"
"San Remo";"";"";"Haus des Dokumentarfilms";"5"
"San Sebastian";"";"";"Haus des Dokumentarfilms";"1"
"Sandabakus";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sander, Helke";"119036096";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Sander, Helke";"351dc1e0d2464ebc8f8ed8b89ef20e38";"avefi:FilmportalResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Sandfilteranlage";"";"";"Haus des Dokumentarfilms";"1"
"Sandhausen";"";"";"Haus des Dokumentarfilms";"1"
"Sandkasten";"";"";"Haus des Dokumentarfilms";"1"
"Sandorakel";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sanduhrtrommel";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sandzeichnung";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sangsöl-Zeremonie";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Sanierung";"";"";"Haus des Dokumentarfilms";"24"
"Sanitäter";"";"";"Haus des Dokumentarfilms";"1"
"Sankt-Remigius-Kapelle";"";"";"Haus des Dokumentarfilms";"1"
"Sansibar";"";"";"Haus des Dokumentarfilms";"1"
"Sanssouci";"";"";"Haus des Dokumentarfilms";"2"
"Santa Fe";"";"";"Haus des Dokumentarfilms";"1"
"Santa Margherita";"";"";"Haus des Dokumentarfilms";"1"
"Santa Margherita Ligure";"";"";"Haus des Dokumentarfilms";"1"
"Santiago";"";"";"Haus des Dokumentarfilms";"1"
"Santiago de Chile";"";"";"Haus des Dokumentarfilms";"1"
"Santos";"";"";"Haus des Dokumentarfilms";"1"
