value;normdata_id;normdata_category;provider;docCount
"Freizeit";"";"";"Haus des Dokumentarfilms";"51"
"Freizeit > Freizeitgestaltung";"";"";"Haus des Dokumentarfilms";"56"
"Freizeit > Urlaub";"";"";"Haus des Dokumentarfilms";"47"
"Freizeitaktivität";"";"";"Haus des Dokumentarfilms";"1"
"Freizeitaktivitäten";"";"";"Technische Informationsbibliothek (TIB)";"4"
"Freizeitangebot";"";"";"Haus des Dokumentarfilms";"3"
"Freizeitgestaltung";"";"";"Haus des Dokumentarfilms";"2"
"Freizeitpark";"";"";"Haus des Dokumentarfilms";"2"
"Freizeitsport";"";"";"Haus des Dokumentarfilms";"2"
"Fremdarbeiter";"";"";"Haus des Dokumentarfilms";"1"
"Fremdenlegionär";"7850750-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Fresko";"";"";"Haus des Dokumentarfilms";"1"
"Freudenstadt";"";"";"Haus des Dokumentarfilms";"14"
"Freundeskreis";"";"";"Haus des Dokumentarfilms";"1"
"Freundschaft";"4018480-8";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"19"
"Frickenhausen";"";"";"Haus des Dokumentarfilms";"1"
"Friedensbewegung";"";"";"Haus des Dokumentarfilms";"1"
"Friedenweiler";"";"";"Haus des Dokumentarfilms";"1"
"Friedhof";"";"";"Haus des Dokumentarfilms";"16"
"Friedrichshafen";"";"";"Haus des Dokumentarfilms";"22"
"Frischling";"";"";"Haus des Dokumentarfilms";"1"
"Friseur";"4018634-9";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Friseurin";"4713599-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Frisieren";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Frisör";"";"";"Haus des Dokumentarfilms";"1"
"Fritz-Erler-Schule";"";"";"Haus des Dokumentarfilms";"2"
"Frohnleiten";"";"";"Haus des Dokumentarfilms";"1"
"Fronleichnam";"";"";"Haus des Dokumentarfilms";"13"
"Fronleichnamsprozession";"";"";"Haus des Dokumentarfilms";"1"
"Frontbühne";"";"";"Haus des Dokumentarfilms";"1"
"Fronturlaub";"";"";"Haus des Dokumentarfilms";"1"
"Fränkische Schweiz";"";"";"Haus des Dokumentarfilms";"1"
"Fränkisches Volksfest";"";"";"Haus des Dokumentarfilms";"1"
"Frühjahrsbräuche";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Frühling";"";"";"Haus des Dokumentarfilms";"10"
"Frühlingsbräuche";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Frühlingsfest";"";"";"Haus des Dokumentarfilms";"3"
"Fuchs";"";"";"Haus des Dokumentarfilms";"3"
"Fudji";"";"";"Haus des Dokumentarfilms";"1"
"Fuhrpark";"";"";"Haus des Dokumentarfilms";"1"
"Fuhrwerk";"";"";"Haus des Dokumentarfilms";"3"
"Fujiyama";"";"";"Haus des Dokumentarfilms";"1"
"Fulda";"";"";"Haus des Dokumentarfilms";"3"
"Funchal";"";"";"Haus des Dokumentarfilms";"2"
"Funkensonntag";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Funker";"";"";"Haus des Dokumentarfilms";"2"
"Furka-Pass";"";"";"Haus des Dokumentarfilms";"1"
"Furtwangen";"";"";"Haus des Dokumentarfilms";"1"
"Fussball";"";"";"Haus des Dokumentarfilms";"2"
"Fuß";"";"";"Haus des Dokumentarfilms";"3"
"Fußball";"";"";"Haus des Dokumentarfilms";"25"
"Fußballspiel";"";"";"Haus des Dokumentarfilms";"9"
"Fußballspieler";"";"";"Haus des Dokumentarfilms";"1"
"Fußgänger";"";"";"Haus des Dokumentarfilms";"2"
"Fußgängerzone";"4140911-5";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Fähre";"";"";"Haus des Dokumentarfilms";"6"
"Fährmann";"";"";"Haus des Dokumentarfilms";"1"
"Färöer-Inseln";"";"";"Haus des Dokumentarfilms";"1"
"Föhn";"";"";"Haus des Dokumentarfilms";"1"
"Förster";"4329718-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Fünfkampf";"";"";"Haus des Dokumentarfilms";"1"
"Fünfziger Jahre";"";"";"Haus des Dokumentarfilms";"6"
"Fürst Rainier III. von Monaco";"";"";"Haus des Dokumentarfilms";"1"
"Fürst, Peter H.";"";"";"Haus des Dokumentarfilms";"1"
"Fürstenberg, Joachim Egon zu";"";"";"Haus des Dokumentarfilms";"1"
"Fürstenberg, Max zu";"";"";"Haus des Dokumentarfilms";"1"
"Fürth-Atzenhof";"";"";"Haus des Dokumentarfilms";"1"
"Füssen";"";"";"Haus des Dokumentarfilms";"7"
"GESCHICHTE";"";"";"Haus des Dokumentarfilms";"3"
"GESELLSCHAFT UND SOZIALES";"";"";"Haus des Dokumentarfilms";"297"
"GESUNDHEITSWESEN UND MEDIZIN";"";"";"Haus des Dokumentarfilms";"25"
"GI";"";"";"Haus des Dokumentarfilms";"1"
"GPS";"4216824-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gabin, Jean";"118536982";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gaggenau";"";"";"Haus des Dokumentarfilms";"16"
"Gaildorf";"";"";"Haus des Dokumentarfilms";"1"
"Gaisburg";"";"";"Haus des Dokumentarfilms";"1"
"Galluskirche";"";"";"Haus des Dokumentarfilms";"1"
"Galopprennen";"";"";"Haus des Dokumentarfilms";"3"
"Galtö";"";"";"Haus des Dokumentarfilms";"1"
"Galtür";"";"";"Haus des Dokumentarfilms";"2"
"Gams";"";"";"Haus des Dokumentarfilms";"1"
"Gangster";"4449780-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Garage";"";"";"Haus des Dokumentarfilms";"2"
"Garchinger Heide";"";"";"Haus des Dokumentarfilms";"1"
"Gardasee";"";"";"Haus des Dokumentarfilms";"8"
"Garmisch";"";"";"Haus des Dokumentarfilms";"3"
"Garmisch-Partenkirchen";"";"";"Haus des Dokumentarfilms";"10"
"Garten";"";"";"Haus des Dokumentarfilms";"31"
"Gartenarbeit";"";"";"Haus des Dokumentarfilms";"2"
"Gartenausstellung";"";"";"Haus des Dokumentarfilms";"1"
"Gartenbauausstellung";"";"";"Haus des Dokumentarfilms";"1"
"Gartenschau";"";"";"Haus des Dokumentarfilms";"14"
"Gartenstadt";"";"";"Haus des Dokumentarfilms";"1"
"Gartenzwerg";"";"";"Haus des Dokumentarfilms";"1"
"Gas";"";"";"Haus des Dokumentarfilms";"2"
"Gaschurn";"";"";"Haus des Dokumentarfilms";"5"
"Gaskraftwerk";"";"";"Haus des Dokumentarfilms";"2"
"Gasmaske";"";"";"Haus des Dokumentarfilms";"1"
"Gastarbeiter";"4003743-5";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"9"
"Gastfamilie";"4156206-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gasthaus";"";"";"Haus des Dokumentarfilms";"7"
"Gasthof";"";"";"Haus des Dokumentarfilms";"6"
"Gastronomie";"";"";"Haus des Dokumentarfilms";"1"
"Gaststube";"";"";"Haus des Dokumentarfilms";"1"
"Gaststätte";"";"";"Haus des Dokumentarfilms";"1"
"Gaststättengewerbe";"";"";"Haus des Dokumentarfilms";"1"
"Gaswerk";"";"";"Haus des Dokumentarfilms";"2"
"Gattenmord";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gaudach";"";"";"Haus des Dokumentarfilms";"1"
"Gebet";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"6"
"Gebet / Gebetsfahne";"";"";"Technische Informationsbibliothek (TIB)";"3"
"Gebet / Gebetsmühle";"";"";"Technische Informationsbibliothek (TIB)";"4"
"Gebet / Gebetsrad";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Gebete";"";"";"Technische Informationsbibliothek (TIB)";"13"
"Gebirge";"";"";"Haus des Dokumentarfilms";"12"
"Gebirgsjäger";"";"";"Haus des Dokumentarfilms";"3"
"Geburt";"";"";"Haus des Dokumentarfilms";"2"
"Geburtstag";"";"";"Haus des Dokumentarfilms";"54"
"Geburtstag,";"";"";"Haus des Dokumentarfilms";"20"
"Geburtstagsfeier";"4156184-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"Geburtstagsständchen";"";"";"Haus des Dokumentarfilms";"1"
"Gebweiler";"";"";"Haus des Dokumentarfilms";"1"
"Gebäck";"";"";"Haus des Dokumentarfilms";"1"
"Gebärdensprache";"4129609-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gebäude";"";"";"Haus des Dokumentarfilms";"21"
"Gebäudebrand";"";"";"Haus des Dokumentarfilms";"1"
"Gedenken";"4369798-7";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Gedenkstein";"";"";"Haus des Dokumentarfilms";"1"
"Gedenktag";"";"";"Haus des Dokumentarfilms";"1"
"Gedser";"";"";"Haus des Dokumentarfilms";"1"
"Geduld";"4156206-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Gedächtniskirche";"";"";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Gefangenenlager";"";"";"Haus des Dokumentarfilms";"1"
"Geflügel";"";"";"Haus des Dokumentarfilms";"1"
"Geflügelhaltung";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Gefängnis";"4071628-4";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"14"
"Gefängnis";"4073137-6";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"14"
"Gefängnis";"4156217-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"14"
"Gefängnisausbruch";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gegenebwegung";"";"";"Haus des Dokumentarfilms";"1"
"Geheimbund";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"5"
"Geheimdienst";"4019737-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Geheime Staatspolizei (Gestapo)";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Geheimgesellschaft";"";"";"Technische Informationsbibliothek (TIB)";"9"
"Geheimnis";"4156316-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gehörlosigkeit";"4059132-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Geier";"";"";"Haus des Dokumentarfilms";"1"
"Geigenbau";"";"";"Haus des Dokumentarfilms";"1"
"Geiselnahme";"4121329-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Geislingen";"";"";"Haus des Dokumentarfilms";"2"
"Geist <Übernatürliches Wesen>";"4019830-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Geister / Geisteranrufung";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Geistlicher";"4047233-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Geistlicher";"4132592-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Geistlicher";"4137184-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Geld";"4019889-3";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Geliebte";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gemeinde";"";"";"Haus des Dokumentarfilms";"9"
"Gemeinderat";"";"";"Haus des Dokumentarfilms";"6"
"Gemeindereform";"";"";"Haus des Dokumentarfilms";"1"
"Gemeinschaftsarbeit";"";"";"Technische Informationsbibliothek (TIB)";"3"
"Gemeinschaftskernkraftwerk";"";"";"Haus des Dokumentarfilms";"1"
"Gemmrigheim";"";"";"Haus des Dokumentarfilms";"1"
"General";"4132742-1";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Genf";"";"";"Haus des Dokumentarfilms";"9"
"Genfer See";"";"";"Haus des Dokumentarfilms";"3"
"Genfersee";"";"";"Haus des Dokumentarfilms";"1"
"Gengenbach";"";"";"Haus des Dokumentarfilms";"4"
"Genossenschaft";"";"";"Haus des Dokumentarfilms";"1"
"Gent";"";"";"Haus des Dokumentarfilms";"1"
"Genua";"";"";"Haus des Dokumentarfilms";"7"
"Genußmittel";"";"";"Technische Informationsbibliothek (TIB)";"4"
"Gerabronn";"";"";"Haus des Dokumentarfilms";"1"
"Gerberei";"";"";"Haus des Dokumentarfilms";"1"
"Gerechtigkeit";"";"";"Haus des Dokumentarfilms";"1"
"Gerichtswesen";"";"";"Haus des Dokumentarfilms";"1"
"Germany";"";"";"Technische Informationsbibliothek (TIB)";"13"
"Gernika";"";"";"Haus des Dokumentarfilms";"1"
"Gernsbach";"";"";"Haus des Dokumentarfilms";"2"
"Gernsheim";"";"";"Haus des Dokumentarfilms";"1"
"Gershom Scholem";"";"";"Haus des Dokumentarfilms";"1"
"Gerstetten";"";"";"Haus des Dokumentarfilms";"4"
"Gerstruben";"";"";"Haus des Dokumentarfilms";"1"
"Gert, Valeska";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gesang";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"10"
"Gesangsverein";"";"";"Haus des Dokumentarfilms";"2"
"Geschenk";"";"";"Haus des Dokumentarfilms";"9"
"Geschichte";"";"";"Haus des Dokumentarfilms";"9"
"Geschichte (Historische Disziplin)";"4020517-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"17"
"Geschichte 3. Reich";"";"";"Haus des Dokumentarfilms";"1"
"Geschichte > Heimatgeschichte";"";"";"Haus des Dokumentarfilms";"1"
"Geschichte > Zeitgeschichte (1914ff)";"";"";"Haus des Dokumentarfilms";"1"
"Geschichte,";"";"";"Haus des Dokumentarfilms";"4"
"Geschlechtskrankheit";"";"";"Haus des Dokumentarfilms";"2"
"Geschäft";"";"";"Haus des Dokumentarfilms";"4"
"Geselligkeit";"";"";"Haus des Dokumentarfilms";"19"
"Gesellschaft";"4020588-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"98"
"Gesellschaft und Soziales";"";"";"Haus des Dokumentarfilms";"3"
"Gesellschaft und Soziales > Bevölkerung";"";"";"Haus des Dokumentarfilms";"7"
"Gesellschaft und Soziales > Dorf";"";"";"Haus des Dokumentarfilms";"21"
"Gesellschaft und Soziales > Familie";"";"";"Haus des Dokumentarfilms";"36"
"Gesellschaft und Soziales > Geschlechterrolle";"";"";"Haus des Dokumentarfilms";"5"
"Gesellschaft und Soziales > Jugend";"";"";"Haus des Dokumentarfilms";"5"
"Gesellschaft und Soziales > Kindheit";"";"";"Haus des Dokumentarfilms";"21"
"Gesellschaft und Soziales > Partnerschaft";"";"";"Haus des Dokumentarfilms";"8"
"Gesellschaft und Soziales > Soziale Lage";"";"";"Haus des Dokumentarfilms";"2"
"Gesellschaft und Soziales > Stadt";"";"";"Haus des Dokumentarfilms";"18"
"Gesellschaftsspiel";"";"";"Haus des Dokumentarfilms";"1"
"Gesetz";"";"";"Haus des Dokumentarfilms";"1"
"Gespannfahren";"";"";"Haus des Dokumentarfilms";"5"
"Gespräch";"4020713-4";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Gestüt";"";"";"Haus des Dokumentarfilms";"4"
"Gesundheit";"";"";"Haus des Dokumentarfilms";"5"
"Gesundheitswesen und Medizin > Krankheit";"";"";"Haus des Dokumentarfilms";"1"
"Getreide";"";"";"Haus des Dokumentarfilms";"9"
"Getreide / Getreideopfer";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Getränke";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Getto";"4157319-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Gewalt";"4020832-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen, Haus des Dokumentarfilms";"6"
"Gewaltlosigkeit";"";"";"Haus des Dokumentarfilms";"1"
"Gewehr";"";"";"Haus des Dokumentarfilms";"1"
"Gewerbe";"";"";"Haus des Dokumentarfilms";"2"
"Gewerbegebiet";"";"";"Haus des Dokumentarfilms";"2"
"Gewerkschaft";"4020872-2";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Gewässer";"";"";"Haus des Dokumentarfilms";"3"
"Gezeiten";"";"";"Haus des Dokumentarfilms";"1"
"Ghadames";"";"";"Haus des Dokumentarfilms";"1"
"Ghana";"";"";"Haus des Dokumentarfilms";"2"
"Ghazni";"";"";"Haus des Dokumentarfilms";"1"
"Gibraltar";"";"";"Haus des Dokumentarfilms";"7"
"Giebelstadt";"";"";"Haus des Dokumentarfilms";"1"
"Giengen an der Brenz";"";"";"Haus des Dokumentarfilms";"20"
"Gießerei";"";"";"Haus des Dokumentarfilms";"2"
"Gift";"4021007-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen, Haus des Dokumentarfilms";"4"
"Gifte";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Giftgewinnung";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Giftpfeilspitze";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Gingen an der Fils";"";"";"Haus des Dokumentarfilms";"1"
"Gips";"";"";"Haus des Dokumentarfilms";"1"
"Gipsverband";"";"";"Haus des Dokumentarfilms";"1"
"Givrins";"";"";"Haus des Dokumentarfilms";"5"
"Gizeh";"";"";"Haus des Dokumentarfilms";"2"
"Glacier Express";"";"";"Haus des Dokumentarfilms";"1"
"Glas";"";"";"Haus des Dokumentarfilms";"5"
"Glas (Material)";"4021142-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Glasbläser";"4547440-0";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Glasbläserei";"";"";"Haus des Dokumentarfilms";"5"
"Glasherstellung";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Glashütte";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"3"
"Glasmanufaktur";"";"";"Haus des Dokumentarfilms";"1"
"Glasschleifer";"";"";"Haus des Dokumentarfilms";"1"
"Glaube";"4071867-0";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Glaubensrichtungen";"";"";"Technische Informationsbibliothek (TIB)";"12"
"Gleichschaltung";"";"";"Haus des Dokumentarfilms";"1"
"Gleitschirmfliegen";"";"";"Haus des Dokumentarfilms";"1"
"Glems";"";"";"Haus des Dokumentarfilms";"2"
"Glendale";"";"";"Haus des Dokumentarfilms";"6"
"Gletscher";"";"";"Haus des Dokumentarfilms";"5"
"Glocke";"";"";"Haus des Dokumentarfilms";"10"
"Glockenprozession";"";"";"Haus des Dokumentarfilms";"1"
"Glockenspiel";"";"";"Haus des Dokumentarfilms";"1"
"Glockenweihe";"";"";"Haus des Dokumentarfilms";"1"
"Glottertal";"";"";"Haus des Dokumentarfilms";"1"
"Glässer, Wolfgang";"";"";"Haus des Dokumentarfilms";"1"
"Glücksburg";"";"";"Haus des Dokumentarfilms";"2"
"Gminder";"";"";"Haus des Dokumentarfilms";"1"
"Gnannenweiler";"";"";"Haus des Dokumentarfilms";"2"
"Go-Kart";"";"";"Haus des Dokumentarfilms";"2"
"Goebbels, Joseph";"118540041";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Gokart";"";"";"Haus des Dokumentarfilms";"3"
"Gokart (Kartsport)";"";"";"Haus des Dokumentarfilms";"2"
"Golden Gate Bridge";"";"";"Haus des Dokumentarfilms";"1"
"Goldene Hochzeit";"";"";"Haus des Dokumentarfilms";"1"
"Goldene Konfirmation";"";"";"Haus des Dokumentarfilms";"1"
"Goldschmiedeschule";"";"";"Haus des Dokumentarfilms";"1"
"Golem";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gomadingen";"";"";"Haus des Dokumentarfilms";"4"
"Gomaringen";"";"";"Haus des Dokumentarfilms";"2"
"Gondel";"";"";"Haus des Dokumentarfilms";"3"
"Gong";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Goslar";"";"";"Haus des Dokumentarfilms";"2"
"Gotik";"";"";"Haus des Dokumentarfilms";"1"
"Gott";"4021662-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gottesdienst";"";"";"Haus des Dokumentarfilms";"2"
"Gotthardtunnel";"";"";"Haus des Dokumentarfilms";"1"
"Gottlieb-Daimler-Bergpreis";"";"";"Haus des Dokumentarfilms";"4"
"Grab";"";"";"Haus des Dokumentarfilms";"9"
"Grabstock";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Grabstockbau";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Grado";"";"";"Haus des Dokumentarfilms";"2"
"Graevenitz, Fritz von";"";"";"Haus des Dokumentarfilms";"1"
"Graf";"4021778-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Graf, Hermann";"";"";"Haus des Dokumentarfilms";"1"
"Grafeneck";"";"";"Haus des Dokumentarfilms";"2"
"Graffiti";"4021791-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Grainau";"";"";"Haus des Dokumentarfilms";"1"
"Granada";"";"";"Haus des Dokumentarfilms";"1"
"Grand Canyon";"";"";"Haus des Dokumentarfilms";"1"
"Grant, Cary";"";"";"Haus des Dokumentarfilms";"1"
"Graphiker";"";"";"Haus des Dokumentarfilms";"1"
"Grasdach";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Graser, Max";"";"";"Haus des Dokumentarfilms";"1"
"Grashacken, rituelles";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Graubünden";"";"";"Haus des Dokumentarfilms";"3"
"Gray, Dorian";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gregorifest";"";"";"Haus des Dokumentarfilms";"1"
"Grenze";"";"";"Haus des Dokumentarfilms";"7"
"Grenzübergang Staaken";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Griechenland";"";"";"Haus des Dokumentarfilms";"18"
"Griechenlandfeldzug";"";"";"Haus des Dokumentarfilms";"3"
"Gries am Brenner";"";"";"Haus des Dokumentarfilms";"1"
"Griesinger, Annemarie";"";"";"Haus des Dokumentarfilms";"1"
"Grillen";"";"";"Haus des Dokumentarfilms";"1"
"Grillen <Garen>";"4158203-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Grillplatz";"";"";"Haus des Dokumentarfilms";"1"
"Grimentz";"";"";"Haus des Dokumentarfilms";"6"
"Grimm und Triepel";"";"";"Haus des Dokumentarfilms";"3"
"Grimme Preis (Fiktion)";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"9"
"Grimme Preis (Information & Kultur)";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"7"
"Grimselpass";"";"";"Haus des Dokumentarfilms";"1"
"Grindelwald";"";"";"Haus des Dokumentarfilms";"4"
"Grischkat, Hans";"";"";"Haus des Dokumentarfilms";"1"
"Grosz, George";"118542672";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Großbettlingen";"";"";"Haus des Dokumentarfilms";"2"
"Großbottwar";"";"";"Haus des Dokumentarfilms";"1"
"Großbritannien";"";"";"Haus des Dokumentarfilms";"5"
"Große Deutsche Kunstausstellung 1943";"";"";"Haus des Dokumentarfilms";"1"
"Großer Preis von Dakar";"";"";"Haus des Dokumentarfilms";"1"
"Großer Preis von Marokko";"";"";"Haus des Dokumentarfilms";"1"
"Großer Preis von Norwegen";"";"";"Haus des Dokumentarfilms";"1"
"Großer Preis von Österreich";"";"";"Haus des Dokumentarfilms";"2"
"Großer Wannsee";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Großglockner";"";"";"Haus des Dokumentarfilms";"1"
"Großholzleute";"";"";"Haus des Dokumentarfilms";"1"
"Großmutter";"4022219-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Großstadt";"4022233-0";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Großvater";"4158313-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Grugapark";"";"";"Haus des Dokumentarfilms";"1"
"Gruibingen";"";"";"Haus des Dokumentarfilms";"2"
"Grunau";"";"";"Haus des Dokumentarfilms";"5"
"Grunbach";"";"";"Haus des Dokumentarfilms";"1"
"Grundschule";"";"";"Haus des Dokumentarfilms";"1"
"Grundsteinlegung";"";"";"Haus des Dokumentarfilms";"1"
"Gruppenbild";"";"";"Haus des Dokumentarfilms";"1"
"Gräber";"";"";"Technische Informationsbibliothek (TIB)";"3"
"Gräfin";"4770088-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gröden";"";"";"Haus des Dokumentarfilms";"1"
"Grödnertal";"";"";"Haus des Dokumentarfilms";"1"
"Grömitz";"";"";"Haus des Dokumentarfilms";"1"
"Grünanlage";"";"";"Haus des Dokumentarfilms";"1"
"Gründelhardt";"";"";"Haus des Dokumentarfilms";"1"
"Gründung";"";"";"Haus des Dokumentarfilms";"1"
"Guadalupe";"";"";"Haus des Dokumentarfilms";"1"
"Guatemala";"";"";"Haus des Dokumentarfilms";"1"
"Guderian, Heinz";"";"";"Haus des Dokumentarfilms";"1"
"Guilielma gasipaes";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Gummitwist";"";"";"Haus des Dokumentarfilms";"1"
"Gundelsheim";"";"";"Haus des Dokumentarfilms";"1"
"Gurin";"";"";"Haus des Dokumentarfilms";"1"
"Gursky, Willy";"";"";"Haus des Dokumentarfilms";"1"
"Gussenstadt";"";"";"Haus des Dokumentarfilms";"1"
"Gustav Wagner Maschinenfabrik";"";"";"Haus des Dokumentarfilms";"3"
"Gutach";"";"";"Haus des Dokumentarfilms";"4"
"Gutachtal";"";"";"Haus des Dokumentarfilms";"1"
"Gutsbesitzer";"4196107-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Gutshof";"";"";"Haus des Dokumentarfilms";"1"
"Guttenbach";"";"";"Haus des Dokumentarfilms";"1"
"Gymnasium";"4022648-7";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Gymnastik";"";"";"Haus des Dokumentarfilms";"7"
"Gämse";"";"";"Haus des Dokumentarfilms";"6"
"Gärtner";"";"";"Haus des Dokumentarfilms";"2"
"Gärtringen";"";"";"Haus des Dokumentarfilms";"1"
